epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss
1.000000000000000000e+00,6.924814730882644653e-02,7.173358649015426636e-02,5.404653549194335938e-01,5.388277173042297363e-01,9.569051116704940796e-02
5.000000000000000000e+01,5.016441573388874531e-04,9.955937275663018227e-04,2.626315653324127197e-01,2.641775906085968018e-01,3.782796207815408707e-03
1.000000000000000000e+02,6.008348645991645753e-05,1.764883490977808833e-04,1.226896122097969055e-01,1.270498186349868774e-01,9.403582080267369747e-04
1.500000000000000000e+02,3.451908924034796655e-05,6.822125578764826059e-05,1.041987612843513489e-01,1.089107692241668701e-01,6.517675356008112431e-04
2.000000000000000000e+02,3.423134330660104752e-05,4.867992902291007340e-05,8.804586529731750488e-02,9.088464081287384033e-02,6.425109459087252617e-04
2.500000000000000000e+02,2.384872095717582852e-05,3.177862890879623592e-05,7.905779778957366943e-02,8.184223622083663940e-02,4.269765049684792757e-04
3.000000000000000000e+02,2.283066169184166938e-05,2.568333366070874035e-05,7.839232683181762695e-02,8.086451888084411621e-02,4.062187217641621828e-04
3.500000000000000000e+02,2.139013122359756380e-05,1.954780236701481044e-05,7.642684131860733032e-02,7.887908071279525757e-02,3.937140281777828932e-04
4.000000000000000000e+02,2.156520531571004540e-05,1.981864079425577074e-05,7.458636909723281860e-02,7.716243714094161987e-02,4.210495972074568272e-04
4.500000000000000000e+02,1.913599771796725690e-05,2.209587364632170647e-05,7.145607471466064453e-02,7.392279803752899170e-02,4.503364034462720156e-04
5.000000000000000000e+02,2.528313780203461647e-05,2.510997001081705093e-05,6.912000477313995361e-02,7.171496748924255371e-02,3.625074168667197227e-04
5.500000000000000000e+02,2.148642852262128145e-05,2.079435580526478589e-05,6.470099836587905884e-02,6.735146045684814453e-02,2.886562724597752094e-04
6.000000000000000000e+02,2.489654434612020850e-05,3.277530777268111706e-05,5.950287729501724243e-02,6.241470202803611755e-02,3.219253267161548138e-04
6.500000000000000000e+02,1.281329059565905482e-05,1.511378377472283319e-05,5.069817230105400085e-02,5.401168018579483032e-02,2.179187431465834379e-04
7.000000000000000000e+02,1.047841396939475089e-05,1.581672586326021701e-05,4.192938283085823059e-02,4.670898243784904480e-02,1.703825982986018062e-04
7.500000000000000000e+02,7.590478162455838174e-06,1.223481649503810331e-05,3.580802679061889648e-02,4.047372192144393921e-02,1.140354870585724711e-04
8.000000000000000000e+02,6.597782430617371574e-06,1.122084904636722058e-05,3.128597512841224670e-02,3.633498027920722961e-02,8.705990330781787634e-05
8.500000000000000000e+02,4.135906692681601271e-06,6.497417871287325397e-06,2.831711061298847198e-02,3.269087523221969604e-02,6.918585131643339992e-05
9.000000000000000000e+02,2.861774419216089882e-06,3.353775355208199471e-06,2.623824961483478546e-02,3.116776607930660248e-02,3.293319605290889740e-05
9.500000000000000000e+02,4.917120350000914186e-06,4.228376383252907544e-06,2.698250673711299896e-02,3.081808052957057953e-02,5.463210254674777389e-05
1.000000000000000000e+03,5.673251507687382400e-06,7.606232884427299723e-06,2.462611719965934753e-02,2.882488630712032318e-02,4.992459798813797534e-05
1.050000000000000000e+03,2.954767523988266475e-06,2.650786200319998898e-06,2.267642132937908173e-02,2.726298011839389801e-02,3.992021447629667819e-05
1.100000000000000000e+03,1.067360244633164257e-06,1.819100361899472773e-06,2.052101679146289825e-02,2.562198229134082794e-02,3.234932592022232711e-05
1.150000000000000000e+03,4.286745934223290533e-06,4.950085440214024857e-06,2.046337537467479706e-02,2.416391298174858093e-02,2.534200393711216748e-05
1.200000000000000000e+03,3.400261221031541936e-06,4.132011781621258706e-06,1.884591765701770782e-02,2.347636222839355469e-02,2.374369069002568722e-05
1.250000000000000000e+03,1.455781216463947203e-06,1.501849169471825007e-06,1.832050830125808716e-02,2.173153497278690338e-02,3.237341297790408134e-05
1.300000000000000000e+03,2.811454578477423638e-06,2.897034619309124537e-06,1.840601861476898193e-02,2.336175739765167236e-02,1.757944846758618951e-05
1.350000000000000000e+03,1.621690557840338442e-06,1.271465521313075442e-06,1.633585989475250244e-02,1.957756839692592621e-02,1.940774745889939368e-05
1.400000000000000000e+03,6.211897016328293830e-06,5.394942490966059268e-06,1.644697412848472595e-02,2.042615972459316254e-02,2.309648334630765021e-05
1.450000000000000000e+03,2.501063136151060462e-06,2.911928504545358010e-06,1.553370151668787003e-02,1.951526477932929993e-02,1.657415850786492229e-05
1.500000000000000000e+03,3.743714160009403713e-06,3.052547299375873990e-06,1.445960253477096558e-02,1.790101453661918640e-02,2.755056630121544003e-05
1.550000000000000000e+03,1.878346324701851700e-06,2.768689000731683336e-06,1.432987209409475327e-02,1.815141178667545319e-02,2.182112075388431549e-05
1.600000000000000000e+03,3.501631226754398085e-06,4.271889793017180637e-06,1.516374945640563965e-02,1.765105314552783966e-02,1.776142744347453117e-05
1.650000000000000000e+03,1.973672169697238132e-06,1.915218035719590262e-06,1.370103564113378525e-02,1.715100556612014771e-02,1.757201607688330114e-05
1.700000000000000000e+03,3.179227633154368959e-06,3.183580474797054194e-06,1.486978679895401001e-02,1.741944253444671631e-02,1.687622716417536139e-05
1.750000000000000000e+03,1.274151259167410899e-06,1.001817167889385018e-06,1.346173137426376343e-02,1.715173199772834778e-02,1.829533721320331097e-05
1.800000000000000000e+03,1.860121642494050320e-06,1.736550416353566106e-06,1.356019359081983566e-02,1.730285212397575378e-02,1.657855136727448553e-05
